City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,lebu,-37.6167,-73.65,14.99,89,0,7.57,CL,1675819719
246,calama,-22.4667,-68.9333,18.27,48,40,7.2,CL,1675819465
247,namatanai,-3.6667,152.4333,29.55,67,88,4.75,PG,1675819719
248,plana nad luznici,49.3544,14.7015,-8.42,84,4,1.41,CZ,1675819720
249,dikson,73.5069,80.5464,-23.01,90,100,9.58,RU,1675819720
250,necochea,-38.5473,-58.7368,22.0,79,31,7.21,AR,1675819722
251,davila,18.4726,120.5763,27.99,74,4,5.32,PH,1675819722
252,barras,-4.2444,-42.2944,22.39,98,100,1.44,BR,1675819723
253,srednekolymsk,67.45,153.6833,-33.62,97,100,2.25,RU,1675819723
254,iquitos,-3.7481,-73.2472,25.02,83,75,1.03,PE,1675819723
255,aswan,24.0934,32.907,9.61,49,0,3.6,EG,1675819724
256,dingtao,35.0683,115.5625,6.11,50,100,4.16,CN,1675819724
257,kahului,20.8947,-156.47,27.01,73,40,9.26,US,1675819724
258,bandarbeyla,9.4942,50.8122,25.08,74,98,7.11,SO,1675819725
259,gisenyi,-1.7028,29.2564,17.49,73,96,1.9,RW,1675819725
260,kushmurun,52.4503,64.6311,-14.47,96,100,3.44,KZ,1675819725
261,fukue,32.6881,128.8419,13.2,58,40,6.69,JP,1675819726
262,cidreira,-30.1811,-50.2056,24.31,79,26,5.84,BR,1675819717
263,martin,27.0837,-80.4164,22.2,77,0,3.25,US,1675819726
264,soure,-0.7167,-48.5233,25.29,87,100,3.42,BR,1675819726
265,kieta,-6.2167,155.6333,28.99,73,36,3.93,PG,1675819727
266,avera,33.194,-82.5271,11.73,56,93,1.69,US,1675819727
267,vila velha,-20.3297,-40.2925,26.97,90,75,3.6,BR,1675819727
268,ussel,45.55,2.3167,-1.77,88,5,1.32,FR,1675819728
269,alice springs,-23.7,133.8833,32.75,40,0,4.63,AU,1675819728
270,nantucket,41.2835,-70.0995,2.03,82,100,4.12,US,1675819442
271,cherskiy,68.75,161.3,-34.67,97,100,2.39,RU,1675819728
